dist_deg,baz
8.133232879638671875e+01,4.192464728895971149e+01
8.166065216064453125e+01,4.143584882763430954e+01
8.192950439453125000e+01,4.234225325544739604e+01
8.221732330322265625e+01,4.178386139634964991e+01
8.243589019775390625e+01,4.118956959342529700e+01
8.245935821533203125e+01,4.254353733322191999e+01
8.268917083740234375e+01,4.059248897622883590e+01
8.274437713623046875e+01,4.213933515251420658e+01
8.296103668212890625e+01,4.147529945385882399e+01
8.300962066650390625e+01,4.305224066035199826e+01
8.312758636474609375e+01,4.007249410715940741e+01
8.316838073730468750e+01,4.233518549894947824e+01
8.339601135253906250e+01,4.086800423851818920e+01
8.347743225097656250e+01,3.947917669422702858e+01
8.351898193359375000e+01,4.323456408402157791e+01
8.352802276611328125e+01,4.188394815414503825e+01
8.361138916015625000e+01,4.035669222659232958e+01
8.371991729736328125e+01,4.129185920245163999e+01
8.374277496337890625e+01,4.286791520967815217e+01
8.376702117919921875e+01,3.881191548484378018e+01
8.397015380859375000e+01,3.983772123878819826e+01
8.397888946533203125e+01,4.371551828828730635e+01
8.402352142333984375e+01,3.836605724749053792e+01
8.405896759033203125e+01,4.069555679689410255e+01
8.415447998046875000e+01,4.217219143794760328e+01
8.422350311279296875e+01,3.933815816823005918e+01
8.428981781005859375e+01,4.309728741251872464e+01
8.439898681640625000e+01,4.013987731200308673e+01
8.449633026123046875e+01,4.172830952345847777e+01
8.450643157958984375e+01,3.879027121871842354e+01
8.457993316650390625e+01,4.255037064362770849e+01
8.462705230712890625e+01,4.097476297029601966e+01
8.475364685058593750e+01,3.961994675457216175e+01
8.475736236572265625e+01,4.334509599262126045e+01
8.499371337890625000e+01,4.193730144996532516e+01
8.504319763183593750e+01,4.046677163482316786e+01
8.514186096191406250e+01,4.131294752749101917e+01
8.518226623535156250e+01,3.907018915399186909e+01
8.537916564941406250e+01,3.989636934833360726e+01
8.544763946533203125e+01,4.224416115303296948e+01
8.561165618896484375e+01,4.084516502210450284e+01
8.568598175048828125e+01,3.949341406898385998e+01
8.579737091064453125e+01,4.037227334661646694e+01
8.597488403320312500e+01,4.126733182883877049e+01
8.618779754638671875e+01,3.967927385852332378e+01
