[2025-04-28 16:16:45] Step 3000/300000, Elapsed: 18.57 sec
[2025-04-28 16:17:09] Step 6000/300000, Elapsed: 42.01 sec
[2025-04-28 16:17:31] Step 9000/300000, Elapsed: 64.58 sec
[2025-04-28 16:17:55] Step 12000/300000, Elapsed: 87.90 sec
[2025-04-28 16:18:18] Step 15000/300000, Elapsed: 110.99 sec
[2025-04-28 16:18:43] Step 18000/300000, Elapsed: 135.77 sec
[2025-04-28 16:19:13] Step 21000/300000, Elapsed: 166.62 sec
[2025-04-28 16:19:46] Step 24000/300000, Elapsed: 198.77 sec
[2025-04-28 16:20:18] Step 27000/300000, Elapsed: 231.06 sec
[2025-04-28 16:20:50] Step 30000/300000, Elapsed: 263.35 sec
[2025-04-28 16:21:23] Step 33000/300000, Elapsed: 296.01 sec
[2025-04-28 16:21:55] Step 36000/300000, Elapsed: 328.25 sec
[2025-04-28 16:22:27] Step 39000/300000, Elapsed: 360.23 sec
[2025-04-28 16:22:59] Step 42000/300000, Elapsed: 392.18 sec
[2025-04-28 16:23:31] Step 45000/300000, Elapsed: 423.97 sec
[2025-04-28 16:24:03] Step 48000/300000, Elapsed: 455.98 sec
[2025-04-28 16:24:35] Step 51000/300000, Elapsed: 488.14 sec
[2025-04-28 16:25:04] Step 54000/300000, Elapsed: 516.93 sec
[2025-04-28 16:25:33] Step 57000/300000, Elapsed: 545.63 sec
[2025-04-28 16:26:02] Step 60000/300000, Elapsed: 575.39 sec
[2025-04-28 16:26:35] Step 63000/300000, Elapsed: 607.75 sec
[2025-04-28 16:27:07] Step 66000/300000, Elapsed: 640.16 sec
[2025-04-28 16:27:39] Step 69000/300000, Elapsed: 672.36 sec
[2025-04-28 16:28:12] Step 72000/300000, Elapsed: 704.87 sec
[2025-04-28 16:28:45] Step 75000/300000, Elapsed: 737.80 sec
[2025-04-28 16:29:17] Step 78000/300000, Elapsed: 770.35 sec
[2025-04-28 16:29:50] Step 81000/300000, Elapsed: 803.30 sec
[2025-04-28 16:30:22] Step 84000/300000, Elapsed: 835.30 sec
[2025-04-28 16:30:54] Step 87000/300000, Elapsed: 867.45 sec
[2025-04-28 16:31:27] Step 90000/300000, Elapsed: 899.87 sec
[2025-04-28 16:31:59] Step 93000/300000, Elapsed: 932.39 sec
[2025-04-28 16:32:32] Step 96000/300000, Elapsed: 964.98 sec
[2025-04-28 16:33:05] Step 99000/300000, Elapsed: 997.67 sec
[2025-04-28 16:33:37] Step 102000/300000, Elapsed: 1029.74 sec
[2025-04-28 16:34:09] Step 105000/300000, Elapsed: 1062.04 sec
