[2025-05-01 22:10:49] Step 3000/300000, Elapsed: 8.77 sec
[2025-05-01 22:10:59] Step 6000/300000, Elapsed: 18.01 sec
[2025-05-01 22:11:08] Step 9000/300000, Elapsed: 27.85 sec
[2025-05-01 22:11:18] Step 12000/300000, Elapsed: 37.21 sec
[2025-05-01 22:11:30] Step 15000/300000, Elapsed: 49.49 sec
[2025-05-01 22:11:43] Step 18000/300000, Elapsed: 62.79 sec
[2025-05-01 22:12:00] Step 21000/300000, Elapsed: 79.05 sec
[2025-05-01 22:12:16] Step 24000/300000, Elapsed: 95.78 sec
[2025-05-01 22:12:31] Step 27000/300000, Elapsed: 110.21 sec
[2025-05-01 22:12:48] Step 30000/300000, Elapsed: 127.15 sec
[2025-05-01 22:13:04] Step 33000/300000, Elapsed: 143.69 sec
[2025-05-01 22:13:19] Step 36000/300000, Elapsed: 157.94 sec
[2025-05-01 22:13:32] Step 39000/300000, Elapsed: 170.94 sec
[2025-05-01 22:13:45] Step 42000/300000, Elapsed: 184.28 sec
[2025-05-01 22:13:58] Step 45000/300000, Elapsed: 197.34 sec
[2025-05-01 22:14:12] Step 48000/300000, Elapsed: 211.15 sec
[2025-05-01 22:14:29] Step 51000/300000, Elapsed: 228.17 sec
[2025-05-01 22:14:45] Step 54000/300000, Elapsed: 244.64 sec
[2025-05-01 22:14:59] Step 57000/300000, Elapsed: 258.37 sec
[2025-05-01 22:15:12] Step 60000/300000, Elapsed: 271.17 sec
[2025-05-01 22:15:25] Step 63000/300000, Elapsed: 284.47 sec
[2025-05-01 22:15:38] Step 66000/300000, Elapsed: 297.34 sec
[2025-05-01 22:15:51] Step 69000/300000, Elapsed: 310.26 sec
[2025-05-01 22:16:04] Step 72000/300000, Elapsed: 323.19 sec
[2025-05-01 22:16:16] Step 75000/300000, Elapsed: 335.87 sec
[2025-05-01 22:16:30] Step 78000/300000, Elapsed: 349.21 sec
[2025-05-01 22:16:43] Step 81000/300000, Elapsed: 361.96 sec
[2025-05-01 22:16:56] Step 84000/300000, Elapsed: 375.10 sec
[2025-05-01 22:17:09] Step 87000/300000, Elapsed: 388.13 sec
[2025-05-01 22:17:22] Step 90000/300000, Elapsed: 400.99 sec
[2025-05-01 22:17:37] Step 93000/300000, Elapsed: 416.34 sec
[2025-05-01 22:17:53] Step 96000/300000, Elapsed: 432.49 sec
[2025-05-01 22:18:11] Step 99000/300000, Elapsed: 450.52 sec
[2025-05-01 22:18:30] Step 102000/300000, Elapsed: 469.19 sec
[2025-05-01 22:18:49] Step 105000/300000, Elapsed: 488.11 sec
[2025-05-01 22:19:08] Step 108000/300000, Elapsed: 507.18 sec
[2025-05-01 22:19:27] Step 111000/300000, Elapsed: 525.92 sec
[2025-05-01 22:19:46] Step 114000/300000, Elapsed: 545.07 sec
[2025-05-01 22:20:04] Step 117000/300000, Elapsed: 563.55 sec
[2025-05-01 22:20:23] Step 120000/300000, Elapsed: 582.64 sec
[2025-05-01 22:20:41] Step 123000/300000, Elapsed: 600.62 sec
[2025-05-01 22:20:57] Step 126000/300000, Elapsed: 616.84 sec
[2025-05-01 22:21:14] Step 129000/300000, Elapsed: 633.65 sec
[2025-05-01 22:21:31] Step 132000/300000, Elapsed: 650.38 sec
[2025-05-01 22:21:50] Step 135000/300000, Elapsed: 669.04 sec
[2025-05-01 22:22:08] Step 138000/300000, Elapsed: 687.32 sec
[2025-05-01 22:22:27] Step 141000/300000, Elapsed: 706.40 sec
[2025-05-01 22:22:46] Step 144000/300000, Elapsed: 725.12 sec
[2025-05-01 22:23:05] Step 147000/300000, Elapsed: 744.36 sec
[2025-05-01 22:23:24] Step 150000/300000, Elapsed: 763.73 sec
[2025-05-01 22:23:43] Step 153000/300000, Elapsed: 782.57 sec
