[2025-04-21 15:58:30] Step 10000/1000000, Elapsed: 117.53 sec
[2025-04-21 16:00:36] Step 20000/1000000, Elapsed: 243.29 sec
[2025-04-21 16:02:41] Step 30000/1000000, Elapsed: 368.26 sec
[2025-04-21 16:04:53] Step 40000/1000000, Elapsed: 499.87 sec
[2025-04-21 16:07:03] Step 50000/1000000, Elapsed: 629.82 sec
[2025-04-21 16:09:12] Step 60000/1000000, Elapsed: 759.59 sec
[2025-04-21 16:11:18] Step 70000/1000000, Elapsed: 885.57 sec
[2025-04-21 16:13:24] Step 80000/1000000, Elapsed: 1010.97 sec
[2025-04-21 16:15:29] Step 90000/1000000, Elapsed: 1135.94 sec
[2025-04-21 16:17:34] Step 100000/1000000, Elapsed: 1260.98 sec
[2025-04-21 16:19:39] Step 110000/1000000, Elapsed: 1385.84 sec
[2025-04-21 16:21:44] Step 120000/1000000, Elapsed: 1511.64 sec
[2025-04-21 16:23:49] Step 130000/1000000, Elapsed: 1635.97 sec
[2025-04-21 16:25:54] Step 140000/1000000, Elapsed: 1760.73 sec
[2025-04-21 16:27:59] Step 150000/1000000, Elapsed: 1885.79 sec
[2025-04-21 16:30:04] Step 160000/1000000, Elapsed: 2011.46 sec
[2025-04-21 16:32:09] Step 170000/1000000, Elapsed: 2136.68 sec
[2025-04-21 16:34:15] Step 180000/1000000, Elapsed: 2262.59 sec
[2025-04-21 16:36:21] Step 190000/1000000, Elapsed: 2387.85 sec
[2025-04-21 16:38:27] Step 200000/1000000, Elapsed: 2514.18 sec
[2025-04-21 16:40:33] Step 210000/1000000, Elapsed: 2639.96 sec
[2025-04-21 16:42:37] Step 220000/1000000, Elapsed: 2764.39 sec
[2025-04-21 16:44:44] Step 230000/1000000, Elapsed: 2891.09 sec
[2025-04-21 16:46:49] Step 240000/1000000, Elapsed: 3016.67 sec
[2025-04-21 16:48:56] Step 250000/1000000, Elapsed: 3143.33 sec
[2025-04-21 16:51:02] Step 260000/1000000, Elapsed: 3269.06 sec
[2025-04-21 16:53:08] Step 270000/1000000, Elapsed: 3395.17 sec
[2025-04-21 16:55:15] Step 280000/1000000, Elapsed: 3522.26 sec
[2025-04-21 16:57:23] Step 290000/1000000, Elapsed: 3650.09 sec
[2025-04-21 16:59:30] Step 300000/1000000, Elapsed: 3776.86 sec
[2025-04-21 17:01:37] Step 310000/1000000, Elapsed: 3904.53 sec
[2025-04-21 17:03:45] Step 320000/1000000, Elapsed: 4032.17 sec
[2025-04-21 17:05:51] Step 330000/1000000, Elapsed: 4157.76 sec
[2025-04-21 17:07:56] Step 340000/1000000, Elapsed: 4283.19 sec
[2025-04-21 17:10:02] Step 350000/1000000, Elapsed: 4408.82 sec
[2025-04-21 17:12:07] Step 360000/1000000, Elapsed: 4533.80 sec
[2025-04-21 17:14:11] Step 370000/1000000, Elapsed: 4658.69 sec
[2025-04-21 17:16:17] Step 380000/1000000, Elapsed: 4783.73 sec
[2025-04-21 17:18:23] Step 390000/1000000, Elapsed: 4909.74 sec
[2025-04-21 17:20:28] Step 400000/1000000, Elapsed: 5035.01 sec
[2025-04-21 17:22:34] Step 410000/1000000, Elapsed: 5161.49 sec
[2025-04-21 17:24:40] Step 420000/1000000, Elapsed: 5287.05 sec
[2025-04-21 17:26:46] Step 430000/1000000, Elapsed: 5413.15 sec
[2025-04-21 17:28:51] Step 440000/1000000, Elapsed: 5538.58 sec
[2025-04-21 17:30:58] Step 450000/1000000, Elapsed: 5664.77 sec
[2025-04-21 17:33:04] Step 460000/1000000, Elapsed: 5790.89 sec
[2025-04-21 17:35:09] Step 470000/1000000, Elapsed: 5916.27 sec
