[2025-04-28 15:52:51] Step 3000/300000, Elapsed: 13.26 sec
[2025-04-28 15:53:14] Step 6000/300000, Elapsed: 36.32 sec
[2025-04-28 15:53:37] Step 9000/300000, Elapsed: 59.45 sec
[2025-04-28 15:54:10] Step 12000/300000, Elapsed: 92.41 sec
[2025-04-28 15:54:44] Step 15000/300000, Elapsed: 126.05 sec
[2025-04-28 15:55:19] Step 18000/300000, Elapsed: 161.02 sec
[2025-04-28 15:55:44] Step 21000/300000, Elapsed: 185.85 sec
[2025-04-28 15:56:09] Step 24000/300000, Elapsed: 211.51 sec
[2025-04-28 15:56:35] Step 27000/300000, Elapsed: 237.55 sec
[2025-04-28 15:57:00] Step 30000/300000, Elapsed: 262.54 sec
[2025-04-28 15:57:25] Step 33000/300000, Elapsed: 286.86 sec
[2025-04-28 15:57:49] Step 36000/300000, Elapsed: 311.68 sec
[2025-04-28 15:58:14] Step 39000/300000, Elapsed: 336.49 sec
[2025-04-28 15:58:39] Step 42000/300000, Elapsed: 361.37 sec
[2025-04-28 15:59:04] Step 45000/300000, Elapsed: 386.13 sec
[2025-04-28 15:59:30] Step 48000/300000, Elapsed: 411.97 sec
[2025-04-28 15:59:55] Step 51000/300000, Elapsed: 437.01 sec
[2025-04-28 16:00:20] Step 54000/300000, Elapsed: 462.11 sec
[2025-04-28 16:00:45] Step 57000/300000, Elapsed: 487.28 sec
[2025-04-28 16:01:10] Step 60000/300000, Elapsed: 512.47 sec
[2025-04-28 16:01:34] Step 63000/300000, Elapsed: 536.59 sec
[2025-04-28 16:01:58] Step 66000/300000, Elapsed: 560.50 sec
[2025-04-28 16:02:22] Step 69000/300000, Elapsed: 584.46 sec
[2025-04-28 16:02:47] Step 72000/300000, Elapsed: 609.58 sec
[2025-04-28 16:03:13] Step 75000/300000, Elapsed: 634.84 sec
[2025-04-28 16:03:37] Step 78000/300000, Elapsed: 658.93 sec
[2025-04-28 16:04:01] Step 81000/300000, Elapsed: 683.00 sec
[2025-04-28 16:04:26] Step 84000/300000, Elapsed: 708.27 sec
[2025-04-28 16:04:51] Step 87000/300000, Elapsed: 732.90 sec
[2025-04-28 16:05:14] Step 90000/300000, Elapsed: 756.78 sec
[2025-04-28 16:05:38] Step 93000/300000, Elapsed: 780.50 sec
[2025-04-28 16:06:03] Step 96000/300000, Elapsed: 805.76 sec
[2025-04-28 16:06:28] Step 99000/300000, Elapsed: 830.38 sec
[2025-04-28 16:06:53] Step 102000/300000, Elapsed: 854.85 sec
[2025-04-28 16:07:18] Step 105000/300000, Elapsed: 880.31 sec
[2025-04-28 16:07:42] Step 108000/300000, Elapsed: 904.62 sec
[2025-04-28 16:08:07] Step 111000/300000, Elapsed: 928.90 sec
[2025-04-28 16:08:32] Step 114000/300000, Elapsed: 953.80 sec
[2025-04-28 16:08:56] Step 117000/300000, Elapsed: 978.40 sec
[2025-04-28 16:09:21] Step 120000/300000, Elapsed: 1002.95 sec
[2025-04-28 16:09:45] Step 123000/300000, Elapsed: 1026.89 sec
[2025-04-28 16:10:09] Step 126000/300000, Elapsed: 1051.35 sec
[2025-04-28 16:10:34] Step 129000/300000, Elapsed: 1076.00 sec
[2025-04-28 16:10:58] Step 132000/300000, Elapsed: 1100.26 sec
[2025-04-28 16:11:22] Step 135000/300000, Elapsed: 1124.63 sec
[2025-04-28 16:11:47] Step 138000/300000, Elapsed: 1149.27 sec
[2025-04-28 16:12:12] Step 141000/300000, Elapsed: 1174.08 sec
[2025-04-28 16:12:37] Step 144000/300000, Elapsed: 1199.66 sec
[2025-04-28 16:13:02] Step 147000/300000, Elapsed: 1224.73 sec
[2025-04-28 16:13:27] Step 150000/300000, Elapsed: 1249.35 sec
[2025-04-28 16:13:52] Step 153000/300000, Elapsed: 1273.89 sec
[2025-04-28 16:14:16] Step 156000/300000, Elapsed: 1298.53 sec
[2025-04-28 16:14:41] Step 159000/300000, Elapsed: 1323.14 sec
[2025-04-28 16:15:06] Step 162000/300000, Elapsed: 1347.82 sec
[2025-04-28 16:15:30] Step 165000/300000, Elapsed: 1372.55 sec
[2025-04-28 16:15:58] Step 168000/300000, Elapsed: 1400.07 sec
[2025-04-28 16:16:22] Step 171000/300000, Elapsed: 1424.16 sec
[2025-04-28 16:16:46] Step 174000/300000, Elapsed: 1448.65 sec
[2025-04-28 16:17:11] Step 177000/300000, Elapsed: 1473.69 sec
[2025-04-28 16:17:37] Step 180000/300000, Elapsed: 1499.56 sec
[2025-04-28 16:18:03] Step 183000/300000, Elapsed: 1525.65 sec
[2025-04-28 16:18:29] Step 186000/300000, Elapsed: 1551.76 sec
[2025-04-28 16:18:54] Step 189000/300000, Elapsed: 1576.49 sec
[2025-04-28 16:19:20] Step 192000/300000, Elapsed: 1602.45 sec
[2025-04-28 16:19:46] Step 195000/300000, Elapsed: 1628.41 sec
[2025-04-28 16:20:11] Step 198000/300000, Elapsed: 1653.24 sec
[2025-04-28 16:20:36] Step 201000/300000, Elapsed: 1678.18 sec
[2025-04-28 16:21:02] Step 204000/300000, Elapsed: 1704.26 sec
[2025-04-28 16:21:28] Step 207000/300000, Elapsed: 1730.45 sec
[2025-04-28 16:21:53] Step 210000/300000, Elapsed: 1755.19 sec
[2025-04-28 16:22:18] Step 213000/300000, Elapsed: 1779.87 sec
[2025-04-28 16:22:42] Step 216000/300000, Elapsed: 1804.64 sec
[2025-04-28 16:23:07] Step 219000/300000, Elapsed: 1829.21 sec
[2025-04-28 16:23:32] Step 222000/300000, Elapsed: 1853.88 sec
[2025-04-28 16:23:56] Step 225000/300000, Elapsed: 1878.45 sec
[2025-04-28 16:24:21] Step 228000/300000, Elapsed: 1903.19 sec
[2025-04-28 16:24:46] Step 231000/300000, Elapsed: 1927.99 sec
[2025-04-28 16:25:10] Step 234000/300000, Elapsed: 1952.61 sec
[2025-04-28 16:25:35] Step 237000/300000, Elapsed: 1977.55 sec
[2025-04-28 16:26:00] Step 240000/300000, Elapsed: 2002.52 sec
[2025-04-28 16:26:25] Step 243000/300000, Elapsed: 2027.48 sec
[2025-04-28 16:26:50] Step 246000/300000, Elapsed: 2052.38 sec
[2025-04-28 16:27:15] Step 249000/300000, Elapsed: 2077.05 sec
