[2025-04-22 16:08:25] Step 3000/300000, Elapsed: 119.91 sec
[2025-04-22 16:10:49] Step 6000/300000, Elapsed: 264.77 sec
[2025-04-22 16:13:41] Step 9000/300000, Elapsed: 436.24 sec
[2025-04-22 16:16:03] Step 12000/300000, Elapsed: 578.00 sec
[2025-04-22 16:18:22] Step 15000/300000, Elapsed: 717.20 sec
[2025-04-22 16:21:01] Step 18000/300000, Elapsed: 876.04 sec
[2025-04-22 16:23:46] Step 21000/300000, Elapsed: 1041.07 sec
[2025-04-22 16:26:33] Step 24000/300000, Elapsed: 1207.85 sec
[2025-04-22 16:29:17] Step 27000/300000, Elapsed: 1372.71 sec
[2025-04-22 16:32:03] Step 30000/300000, Elapsed: 1537.88 sec
[2025-04-22 16:34:49] Step 33000/300000, Elapsed: 1704.26 sec
[2025-04-22 16:37:35] Step 36000/300000, Elapsed: 1869.85 sec
[2025-04-22 16:40:20] Step 39000/300000, Elapsed: 2034.89 sec
[2025-04-22 16:43:04] Step 42000/300000, Elapsed: 2199.75 sec
[2025-04-22 16:45:49] Step 45000/300000, Elapsed: 2364.75 sec
[2025-04-22 16:48:34] Step 48000/300000, Elapsed: 2529.68 sec
[2025-04-22 16:51:19] Step 51000/300000, Elapsed: 2694.79 sec
[2025-04-22 16:54:04] Step 54000/300000, Elapsed: 2859.40 sec
[2025-04-22 16:56:49] Step 57000/300000, Elapsed: 3024.76 sec
[2025-04-22 16:59:34] Step 60000/300000, Elapsed: 3189.41 sec
[2025-04-22 17:02:19] Step 63000/300000, Elapsed: 3353.86 sec
[2025-04-22 17:05:03] Step 66000/300000, Elapsed: 3518.73 sec
[2025-04-22 17:07:49] Step 69000/300000, Elapsed: 3683.93 sec
[2025-04-22 17:10:34] Step 72000/300000, Elapsed: 3849.25 sec
[2025-04-22 17:13:19] Step 75000/300000, Elapsed: 4014.13 sec
[2025-04-22 17:16:04] Step 78000/300000, Elapsed: 4178.92 sec
[2025-04-22 17:18:49] Step 81000/300000, Elapsed: 4343.93 sec
[2025-04-22 17:21:34] Step 84000/300000, Elapsed: 4509.67 sec
[2025-04-22 17:24:19] Step 87000/300000, Elapsed: 4674.31 sec
[2025-04-22 17:27:04] Step 90000/300000, Elapsed: 4839.46 sec
[2025-04-22 17:29:50] Step 93000/300000, Elapsed: 5004.94 sec
[2025-04-22 17:32:38] Step 96000/300000, Elapsed: 5173.31 sec
[2025-04-22 17:35:25] Step 99000/300000, Elapsed: 5340.78 sec
[2025-04-22 17:38:13] Step 102000/300000, Elapsed: 5507.93 sec
[2025-04-22 17:41:00] Step 105000/300000, Elapsed: 5675.41 sec
[2025-04-22 17:43:47] Step 108000/300000, Elapsed: 5841.85 sec
[2025-04-22 17:46:34] Step 111000/300000, Elapsed: 6008.89 sec
[2025-04-22 17:49:20] Step 114000/300000, Elapsed: 6175.66 sec
[2025-04-22 17:52:08] Step 117000/300000, Elapsed: 6343.54 sec
[2025-04-22 17:54:44] Step 120000/300000, Elapsed: 6498.83 sec
[2025-04-22 17:57:05] Step 123000/300000, Elapsed: 6640.48 sec
[2025-04-22 17:59:26] Step 126000/300000, Elapsed: 6781.05 sec
[2025-04-22 18:01:27] Step 129000/300000, Elapsed: 6902.16 sec
[2025-04-22 18:03:13] Step 132000/300000, Elapsed: 7008.55 sec
[2025-04-22 18:05:01] Step 135000/300000, Elapsed: 7116.41 sec
[2025-04-22 18:06:48] Step 138000/300000, Elapsed: 7223.25 sec
[2025-04-22 18:08:35] Step 141000/300000, Elapsed: 7329.91 sec
[2025-04-22 18:10:39] Step 144000/300000, Elapsed: 7454.16 sec
[2025-04-22 18:12:58] Step 147000/300000, Elapsed: 7593.78 sec
[2025-04-22 18:15:18] Step 150000/300000, Elapsed: 7733.59 sec
[2025-04-22 18:17:40] Step 153000/300000, Elapsed: 7875.13 sec
[2025-04-22 18:20:00] Step 156000/300000, Elapsed: 8015.51 sec
[2025-04-22 18:22:21] Step 159000/300000, Elapsed: 8156.69 sec
[2025-04-22 18:24:43] Step 162000/300000, Elapsed: 8297.84 sec
[2025-04-22 18:27:03] Step 165000/300000, Elapsed: 8438.18 sec
[2025-04-22 18:29:24] Step 168000/300000, Elapsed: 8578.85 sec
[2025-04-22 18:31:43] Step 171000/300000, Elapsed: 8718.34 sec
[2025-04-22 18:34:01] Step 174000/300000, Elapsed: 8856.49 sec
[2025-04-22 18:36:22] Step 177000/300000, Elapsed: 8997.16 sec
[2025-04-22 18:38:42] Step 180000/300000, Elapsed: 9136.93 sec
[2025-04-22 18:41:04] Step 183000/300000, Elapsed: 9279.38 sec
[2025-04-22 18:43:30] Step 186000/300000, Elapsed: 9425.51 sec
[2025-04-22 18:45:50] Step 189000/300000, Elapsed: 9565.36 sec
[2025-04-22 18:48:10] Step 192000/300000, Elapsed: 9704.84 sec
[2025-04-22 18:50:45] Step 195000/300000, Elapsed: 9860.61 sec
[2025-04-22 18:53:31] Step 198000/300000, Elapsed: 10026.35 sec
[2025-04-22 18:55:51] Step 201000/300000, Elapsed: 10166.58 sec
[2025-04-22 18:58:13] Step 204000/300000, Elapsed: 10308.11 sec
[2025-04-22 19:00:51] Step 207000/300000, Elapsed: 10466.49 sec
[2025-04-22 19:03:38] Step 210000/300000, Elapsed: 10632.89 sec
[2025-04-22 19:06:24] Step 213000/300000, Elapsed: 10799.74 sec
[2025-04-22 19:09:01] Step 216000/300000, Elapsed: 10956.67 sec
[2025-04-22 19:11:22] Step 219000/300000, Elapsed: 11096.98 sec
[2025-04-22 19:13:41] Step 222000/300000, Elapsed: 11236.53 sec
[2025-04-22 19:16:01] Step 225000/300000, Elapsed: 11376.44 sec
[2025-04-22 19:18:46] Step 228000/300000, Elapsed: 11540.96 sec
[2025-04-22 19:21:23] Step 231000/300000, Elapsed: 11698.61 sec
[2025-04-22 19:24:14] Step 234000/300000, Elapsed: 11869.13 sec
[2025-04-22 19:27:01] Step 237000/300000, Elapsed: 12035.82 sec
[2025-04-22 19:29:29] Step 240000/300000, Elapsed: 12184.68 sec
[2025-04-22 19:31:53] Step 243000/300000, Elapsed: 12327.90 sec
[2025-04-22 19:34:11] Step 246000/300000, Elapsed: 12466.64 sec
[2025-04-22 19:36:30] Step 249000/300000, Elapsed: 12605.74 sec
[2025-04-22 19:38:51] Step 252000/300000, Elapsed: 12745.86 sec
[2025-04-22 19:41:09] Step 255000/300000, Elapsed: 12884.47 sec
[2025-04-22 19:43:28] Step 258000/300000, Elapsed: 13023.74 sec
[2025-04-22 19:45:47] Step 261000/300000, Elapsed: 13162.39 sec
[2025-04-22 19:48:06] Step 264000/300000, Elapsed: 13301.73 sec
[2025-04-22 19:50:25] Step 267000/300000, Elapsed: 13440.13 sec
[2025-04-22 19:52:44] Step 270000/300000, Elapsed: 13579.62 sec
[2025-04-22 19:55:04] Step 273000/300000, Elapsed: 13719.09 sec
[2025-04-22 19:57:23] Step 276000/300000, Elapsed: 13858.43 sec
[2025-04-22 19:59:42] Step 279000/300000, Elapsed: 13997.47 sec
[2025-04-22 20:02:02] Step 282000/300000, Elapsed: 14137.35 sec
[2025-04-22 20:04:22] Step 285000/300000, Elapsed: 14276.82 sec
[2025-04-22 20:06:47] Step 288000/300000, Elapsed: 14422.18 sec
[2025-04-22 20:09:07] Step 291000/300000, Elapsed: 14561.81 sec
[2025-04-22 20:11:25] Step 294000/300000, Elapsed: 14700.55 sec
[2025-04-22 20:13:44] Step 297000/300000, Elapsed: 14838.96 sec
[2025-04-22 20:16:04] Step 300000/300000, Elapsed: 14978.94 sec
